1.19,2.55,1.61,4.45,3.65,1.71
1.45,2.39,1.67,4.52,3.32,1.71
1.32,2.61,1.61,4.48,3.23,1.94
1.32,3.03,1.58,3.65,4.29,1.87
1.45,3.19,1.81,3.16,4.19,2.77
1.43,2.87,1.77,4.33,3.87,2.1
1.61,2.68,4.1,3.16,3.81,3.9
1.68,3.1,3.74,3.19,3.58,3.87
1.48,3.26,3.39,2.71,3.06,3.74
4.77,1.35,1.42,1.13,1.13,1.16
4.65,1.47,1.29,1.23,1.32,1.1
4.48,1.42,1.48,1.32,1.55,1.35
2.68,2.1,1.61,2.19,2.03,1.68
2.84,2.29,1.87,2.65,2.45,2.03
2.77,2,1.84,2.32,2.23,2.61
1.52,4.03,1.77,2.65,3.03,2.94
1.29,3.74,1.39,3,3.23,2.29
1.71,3.16,1.84,3.48,3.19,2.58
4.32,1.48,3.32,1.35,1.39,1.39
2.68,1.45,4.52,1.9,2.03,2
2.39,1.55,4.48,1.97,1.84,1.81